,away_team_id,pitcher_number,rbi_ct,denom,failure_rate
0,ANA,1,2437,29414,0.082851703
1,ANA,2,571,5695,0.100263389
2,ANA,3,382,4399,0.086837918
3,ANA,4,281,2935,0.095741056
4,ANA,5,132,1453,0.090846524
5,ANA,6,44,554,0.079422383
6,ANA,7,22,227,0.0969163
7,ANA,8,11,84,0.130952381
8,ANA,9,1,15,0.066666667
9,ARI,1,2277,29174,0.078048948
10,ARI,2,442,5191,0.08514737
11,ARI,3,341,4349,0.07840883
12,ARI,4,271,3128,0.086636829
13,ARI,5,143,1667,0.085782843
14,ARI,6,59,719,0.082058414
15,ARI,7,30,292,0.102739726
16,ARI,8,10,146,0.068493151
17,ARI,9,1,56,0.017857143
18,ARI,10,5,12,0.416666667
19,ARI,11,1,4,0.25
20,ATL,1,2227,29348,0.075882513
21,ATL,2,435,5039,0.086326652
22,ATL,3,321,4275,0.075087719
23,ATL,4,247,3019,0.081815171
24,ATL,5,126,1536,0.08203125
25,ATL,6,51,678,0.075221239
26,ATL,7,19,174,0.109195402
27,ATL,8,7,78,0.08974359
28,ATL,9,0,8,0
29,ATL,10,0,2,0
30,BAL,1,2384,28817,0.082728945
31,BAL,2,518,5987,0.086520795
32,BAL,3,328,4243,0.077303794
33,BAL,4,227,2862,0.079315164
34,BAL,5,110,1366,0.080527086
35,BAL,6,34,488,0.069672131
36,BAL,7,16,171,0.093567251
37,BAL,8,7,89,0.078651685
38,BAL,9,3,41,0.073170732
39,BAL,10,1,14,0.071428571
40,BAL,11,0,8,0
41,BOS,1,2385,29234,0.081583088
42,BOS,2,513,5744,0.089310585
43,BOS,3,369,4397,0.083920855
44,BOS,4,224,2886,0.077616078
45,BOS,5,122,1500,0.081333333
46,BOS,6,54,679,0.079528719
47,BOS,7,26,270,0.096296296
48,BOS,8,10,154,0.064935065
49,BOS,9,6,57,0.105263158
50,CHA,1,2369,30435,0.077838015
51,CHA,2,480,5490,0.087431694
52,CHA,3,327,3950,0.08278481
53,CHA,4,227,2678,0.08476475
54,CHA,5,108,1277,0.084573218
55,CHA,6,40,401,0.099750623
56,CHA,7,17,153,0.111111111
57,CHA,8,7,64,0.109375
58,CHA,9,1,20,0.05
59,CHN,1,2227,28784,0.077369372
60,CHN,2,437,5425,0.080552995
61,CHN,3,348,4453,0.078149562
62,CHN,4,255,3018,0.084493042
63,CHN,5,140,1611,0.086902545
64,CHN,6,48,664,0.072289157
65,CHN,7,16,212,0.075471698
66,CHN,8,8,93,0.086021505
67,CHN,9,7,28,0.25
68,CIN,1,2253,29487,0.076406552
69,CIN,2,489,5423,0.090171492
70,CIN,3,348,4265,0.081594373
71,CIN,4,264,2976,0.088709677
72,CIN,5,136,1481,0.091829845
73,CIN,6,53,695,0.076258993
74,CIN,7,19,256,0.07421875
75,CIN,8,8,77,0.103896104
76,CIN,9,5,26,0.192307692
77,CLE,1,2291,28867,0.07936398
78,CLE,2,489,5396,0.090622683
79,CLE,3,367,4340,0.084562212
80,CLE,4,268,2995,0.089482471
81,CLE,5,129,1588,0.081234257
82,CLE,6,66,757,0.087186262
83,CLE,7,24,289,0.083044983
84,CLE,8,6,152,0.039473684
85,CLE,9,2,53,0.037735849
86,CLE,10,4,27,0.148148148
87,COL,1,2175,28609,0.076025027
88,COL,2,465,5574,0.083423036
89,COL,3,313,4242,0.07378595
90,COL,4,204,2974,0.068594486
91,COL,5,124,1572,0.078880407
92,COL,6,45,621,0.072463768
93,COL,7,20,228,0.087719298
94,COL,8,7,79,0.088607595
95,COL,9,6,28,0.214285714
96,COL,10,1,16,0.0625
97,COL,11,2,12,0.166666667
98,COL,12,0,3,0
99,COL,13,0,5,0
100,DET,1,2422,29353,0.082512861
101,DET,2,513,5829,0.088008235
102,DET,3,372,4384,0.084854015
103,DET,4,282,2921,0.09654228
104,DET,5,133,1481,0.089804186
105,DET,6,44,552,0.079710145
106,DET,7,22,231,0.095238095
107,DET,8,12,94,0.127659574
108,DET,9,1,28,0.035714286
109,FLO,1,690,8421,0.081938012
110,FLO,2,135,1575,0.085714286
111,FLO,3,102,1268,0.08044164
112,FLO,4,67,863,0.077636153
113,FLO,5,26,346,0.075144509
114,FLO,6,15,153,0.098039216
115,FLO,7,1,46,0.02173913
116,FLO,8,1,9,0.111111111
117,HOU,1,2379,29415,0.080877104
118,HOU,2,524,5647,0.092792633
119,HOU,3,348,4317,0.080611536
120,HOU,4,226,2866,0.078855548
121,HOU,5,135,1427,0.094604064
122,HOU,6,47,566,0.083038869
123,HOU,7,6,130,0.046153846
124,HOU,8,9,71,0.126760563
125,KCA,1,2439,29821,0.081788002
126,KCA,2,454,5801,0.078262369
127,KCA,3,314,4292,0.073159366
128,KCA,4,198,2669,0.074185088
129,KCA,5,115,1261,0.091197462
130,KCA,6,54,529,0.102079395
131,KCA,7,13,175,0.074285714
132,KCA,8,6,70,0.085714286
133,KCA,9,1,12,0.083333333
134,LAN,1,2183,28609,0.076304659
135,LAN,2,469,5338,0.087860622
136,LAN,3,368,4266,0.086263479
137,LAN,4,291,3154,0.092263792
138,LAN,5,163,1879,0.08674827
139,LAN,6,65,829,0.07840772
140,LAN,7,40,362,0.110497238
141,LAN,8,10,88,0.113636364
142,LAN,9,3,48,0.0625
143,MIA,1,1567,20588,0.076112298
144,MIA,2,350,3898,0.089789636
145,MIA,3,249,3100,0.080322581
146,MIA,4,174,2283,0.076215506
147,MIA,5,76,1146,0.066317627
148,MIA,6,33,472,0.069915254
149,MIA,7,15,199,0.075376884
150,MIA,8,5,67,0.074626866
151,MIA,9,2,15,0.133333333
152,MIL,1,2303,29247,0.078743119
153,MIL,2,473,5446,0.086852736
154,MIL,3,359,4505,0.079689234
155,MIL,4,260,3024,0.085978836
156,MIL,5,119,1388,0.08573487
157,MIL,6,58,573,0.10122164
158,MIL,7,16,198,0.080808081
159,MIL,8,9,51,0.176470588
160,MIL,9,2,27,0.074074074
161,MIN,1,2464,28907,0.085238869
162,MIN,2,515,5832,0.088305898
163,MIN,3,367,4221,0.086946221
164,MIN,4,291,3159,0.092117759
165,MIN,5,119,1537,0.077423552
166,MIN,6,58,639,0.090766823
167,MIN,7,13,224,0.058035714
168,MIN,8,4,52,0.076923077
169,MIN,9,2,13,0.153846154
170,MIN,10,2,6,0.333333333
171,NYA,1,2354,29313,0.080305666
172,NYA,2,497,5666,0.087716202
173,NYA,3,368,4407,0.083503517
174,NYA,4,216,2813,0.076786349
175,NYA,5,120,1507,0.079628401
176,NYA,6,57,658,0.08662614
177,NYA,7,21,285,0.073684211
178,NYA,8,9,68,0.132352941
179,NYA,9,6,18,0.333333333
180,NYA,10,1,10,0.1
181,NYA,11,1,19,0.052631579
182,NYN,1,2306,29074,0.079314852
183,NYN,2,458,5466,0.083790706
184,NYN,3,379,4335,0.087427912
185,NYN,4,265,3107,0.085291278
186,NYN,5,130,1706,0.076201641
187,NYN,6,58,684,0.084795322
188,NYN,7,17,269,0.063197026
189,NYN,8,13,106,0.122641509
190,NYN,9,2,32,0.0625
191,NYN,10,2,12,0.166666667
192,OAK,1,2290,28979,0.079022741
193,OAK,2,545,5636,0.096699787
194,OAK,3,381,4577,0.083242298
195,OAK,4,231,2919,0.079136691
196,OAK,5,127,1485,0.085521886
197,OAK,6,48,580,0.082758621
198,OAK,7,18,225,0.08
199,OAK,8,8,65,0.123076923
200,OAK,9,1,14,0.071428571
201,PHI,1,2264,29472,0.076818675
202,PHI,2,469,5282,0.088792124
203,PHI,3,406,4302,0.094374709
204,PHI,4,221,2963,0.074586568
205,PHI,5,136,1437,0.094641614
206,PHI,6,56,648,0.086419753
207,PHI,7,24,202,0.118811881
208,PHI,8,9,67,0.134328358
209,PHI,9,4,15,0.266666667
210,PHI,10,1,3,0.333333333
211,PIT,1,2324,28960,0.080248619
212,PIT,2,458,5500,0.083272727
213,PIT,3,377,4715,0.079957582
214,PIT,4,252,3171,0.079470199
215,PIT,5,126,1605,0.078504673
216,PIT,6,49,716,0.068435754
217,PIT,7,24,352,0.068181818
218,PIT,8,12,111,0.108108108
219,PIT,9,3,19,0.157894737
220,SDN,1,2363,29146,0.08107459
221,SDN,2,483,5493,0.087930093
222,SDN,3,335,4179,0.080162718
223,SDN,4,234,3048,0.076771654
224,SDN,5,129,1564,0.082480818
225,SDN,6,63,647,0.097372488
226,SDN,7,18,206,0.087378641
227,SDN,8,3,30,0.1
228,SDN,9,0,9,0
229,SDN,10,0,4,0
230,SEA,1,2356,29503,0.079856286
231,SEA,2,494,5758,0.085793678
232,SEA,3,362,4300,0.084186047
233,SEA,4,200,2652,0.075414781
234,SEA,5,139,1440,0.096527778
235,SEA,6,50,637,0.078492936
236,SEA,7,18,205,0.087804878
237,SEA,8,5,44,0.113636364
238,SEA,9,1,17,0.058823529
239,SFN,1,2289,29069,0.078743679
240,SFN,2,505,5315,0.095014111
241,SFN,3,349,4164,0.083813641
242,SFN,4,232,2985,0.077721943
243,SFN,5,140,1760,0.079545455
244,SFN,6,57,825,0.069090909
245,SFN,7,22,340,0.064705882
246,SFN,8,9,121,0.074380165
247,SFN,9,5,26,0.192307692
248,SFN,10,2,16,0.125
249,SFN,11,0,5,0
250,SFN,12,1,5,0.2
251,SLN,1,2311,29064,0.079514176
252,SLN,2,448,5367,0.083473076
253,SLN,3,353,4210,0.083847981
254,SLN,4,264,3045,0.086699507
255,SLN,5,127,1659,0.07655214
256,SLN,6,69,715,0.096503497
257,SLN,7,34,303,0.112211221
258,SLN,8,10,106,0.094339623
259,SLN,9,3,33,0.090909091
260,SLN,10,1,13,0.076923077
261,TBA,1,2373,29185,0.081308892
262,TBA,2,481,5694,0.084474886
263,TBA,3,383,4430,0.086455982
264,TBA,4,231,2933,0.07875895
265,TBA,5,132,1489,0.088650101
266,TBA,6,50,628,0.079617834
267,TBA,7,20,184,0.108695652
268,TBA,8,12,54,0.222222222
269,TBA,9,1,30,0.033333333
270,TBA,10,0,4,0
271,TEX,1,2353,29675,0.079292334
272,TEX,2,542,5812,0.093255334
273,TEX,3,341,4102,0.08313018
274,TEX,4,209,2788,0.074964132
275,TEX,5,102,1329,0.076749436
276,TEX,6,44,453,0.097130243
277,TEX,7,13,101,0.128712871
278,TEX,8,2,30,0.066666667
279,TEX,9,1,9,0.111111111
280,TOR,1,2393,29187,0.081988557
281,TOR,2,498,5805,0.085788114
282,TOR,3,370,4347,0.085116172
283,TOR,4,208,2749,0.075663878
284,TOR,5,134,1549,0.086507424
285,TOR,6,55,596,0.092281879
286,TOR,7,23,218,0.105504587
287,TOR,8,3,55,0.054545455
288,TOR,9,0,6,0
289,TOR,10,1,3,0.333333333
290,WAS,1,2220,28729,0.077273835
291,WAS,2,460,5670,0.081128748
292,WAS,3,331,4325,0.076531792
293,WAS,4,236,2946,0.080108622
294,WAS,5,112,1541,0.072680078
295,WAS,6,64,588,0.108843537
296,WAS,7,20,205,0.097560976
297,WAS,8,7,81,0.086419753
298,WAS,9,2,29,0.068965517
299,WAS,10,0,9,0
