,bat_years_of_experience,pitcher_number,rbi_ct,denom,failure_rate
0,1,1,3867,53822,0.071847943
1,1,2,889,10580,0.084026465
2,1,3,634,8078,0.078484773
3,1,4,417,5891,0.070785945
4,1,5,248,3052,0.081258191
5,1,6,122,1472,0.082880435
6,1,7,45,538,0.083643123
7,1,8,12,198,0.060606061
8,1,9,6,64,0.09375
9,1,10,1,18,0.055555556
10,1,11,0,3,0
11,1,13,0,3,0
12,2,1,6275,86270,0.072736757
13,2,2,1340,16490,0.081261371
14,2,3,1000,12672,0.078914141
15,2,4,723,9124,0.079241561
16,2,5,373,4685,0.079615795
17,2,6,155,1938,0.07997936
18,2,7,54,732,0.073770492
19,2,8,28,267,0.104868914
20,2,9,8,90,0.088888889
21,2,10,2,20,0.1
22,2,11,0,6,0
23,2,12,1,1,1
24,3,1,6742,87768,0.076816152
25,3,2,1435,17148,0.083683228
26,3,3,999,13307,0.07507327
27,3,4,760,9280,0.081896552
28,3,5,392,4861,0.080641843
29,3,6,148,2041,0.072513474
30,3,7,54,740,0.072972973
31,3,8,26,254,0.102362205
32,3,9,7,63,0.111111111
33,3,10,2,14,0.142857143
34,3,11,1,1,1
35,3,12,0,1,0
36,4,1,6863,87272,0.078639197
37,4,2,1419,16656,0.085194524
38,4,3,1045,12922,0.080869834
39,4,4,697,8937,0.077990377
40,4,5,368,4617,0.079705436
41,4,6,150,1874,0.080042689
42,4,7,64,658,0.097264438
43,4,8,23,241,0.095435685
44,4,9,9,73,0.123287671
45,4,10,0,9,0
46,4,11,1,5,0.2
47,4,13,0,1,0
48,5,1,6221,79522,0.078229924
49,5,2,1336,15039,0.088835694
50,5,3,907,11666,0.0777473
51,5,4,645,8036,0.080263813
52,5,5,341,4148,0.082208293
53,5,6,153,1740,0.087931034
54,5,7,51,639,0.079812207
55,5,8,29,238,0.121848739
56,5,9,6,69,0.086956522
57,5,10,2,11,0.181818182
58,5,11,2,5,0.4
59,6,1,6313,77284,0.081685731
60,6,2,1313,14512,0.090476847
61,6,3,957,11408,0.083888499
62,6,4,673,7578,0.088809712
63,6,5,355,3825,0.092810458
64,6,6,140,1587,0.088216761
65,6,7,58,572,0.101398601
66,6,8,22,203,0.108374384
67,6,9,5,55,0.090909091
68,6,10,0,12,0
69,6,11,0,5,0
70,6,12,0,1,0
71,6,13,0,1,0
72,7,1,5223,65248,0.080048431
73,7,2,1084,12495,0.086754702
74,7,3,789,9484,0.083192746
75,7,4,496,6652,0.074564041
76,7,5,274,3316,0.082629674
77,7,6,111,1314,0.084474886
78,7,7,46,500,0.092
79,7,8,18,183,0.098360656
80,7,9,4,49,0.081632653
81,7,10,5,11,0.454545455
82,7,11,0,4,0
83,8,1,4986,59418,0.083913965
84,8,2,1000,11272,0.088715401
85,8,3,788,8773,0.089821042
86,8,4,514,6012,0.085495675
87,8,5,257,3052,0.084207077
88,8,6,114,1330,0.085714286
89,8,7,50,465,0.107526882
90,8,8,17,165,0.103030303
91,8,9,1,56,0.017857143
92,8,10,4,15,0.266666667
93,8,11,0,5,0
94,8,12,0,2,0
95,9,1,4191,52131,0.080393624
96,9,2,877,9936,0.088264895
97,9,3,615,7771,0.079140394
98,9,4,438,5140,0.085214008
99,9,5,218,2698,0.080800593
100,9,6,94,1072,0.087686567
101,9,7,30,394,0.076142132
102,9,8,15,145,0.103448276
103,9,9,7,43,0.162790698
104,9,10,0,6,0
105,9,11,0,2,0
106,9,12,0,1,0
107,10,1,3910,49152,0.079549154
108,10,2,808,9087,0.088918235
109,10,3,587,7217,0.081335735
110,10,4,400,4725,0.084656085
111,10,5,221,2469,0.089509923
112,10,6,84,980,0.085714286
113,10,7,31,369,0.08401084
114,10,8,5,121,0.041322314
115,10,9,6,42,0.142857143
116,10,10,0,5,0
117,10,11,0,2,0
118,11,1,3262,40224,0.081095863
119,11,2,698,7622,0.091577014
120,11,3,539,5814,0.092707258
121,11,4,336,3813,0.088119591
122,11,5,160,2071,0.077257364
123,11,6,83,797,0.104140527
124,11,7,35,333,0.105105105
125,11,8,7,87,0.08045977
126,11,9,1,21,0.047619048
127,11,10,1,5,0.2
128,11,11,0,2,0
129,12,1,2991,34324,0.087140193
130,12,2,587,6446,0.091064226
131,12,3,467,5208,0.089669739
132,12,4,265,3332,0.079531813
133,12,5,154,1764,0.087301587
134,12,6,57,696,0.081896552
135,12,7,19,253,0.075098814
136,12,8,9,96,0.09375
137,12,9,2,19,0.105263158
138,12,10,1,8,0.125
139,12,11,0,2,0
140,13,1,2086,25247,0.082623678
141,13,2,449,4917,0.091315843
142,13,3,302,3733,0.08090008
143,13,4,223,2539,0.087829854
144,13,5,111,1224,0.090686275
145,13,6,48,482,0.099585062
146,13,7,22,192,0.114583333
147,13,8,10,68,0.147058824
148,13,9,4,21,0.19047619
149,13,10,2,9,0.222222222
150,13,12,0,1,0
151,14,1,1718,20936,0.08205961
152,14,2,344,3864,0.089026915
153,14,3,258,2991,0.086258776
154,14,4,195,1947,0.100154083
155,14,5,82,962,0.085239085
156,14,6,29,423,0.06855792
157,14,7,19,156,0.121794872
158,14,8,5,54,0.092592593
159,14,9,4,26,0.153846154
160,14,10,1,3,0.333333333
161,14,11,0,2,0
162,14,12,0,1,0
163,15,1,1377,16233,0.084827204
164,15,2,273,3021,0.090367428
165,15,3,213,2286,0.093175853
166,15,4,127,1576,0.080583756
167,15,5,79,822,0.096107056
168,15,6,29,342,0.084795322
169,15,7,6,108,0.055555556
170,15,8,3,45,0.066666667
171,15,9,1,13,0.076923077
172,16,1,1259,14794,0.085102068
173,16,2,255,2739,0.093099671
174,16,3,195,2154,0.090529248
175,16,4,122,1372,0.088921283
176,16,5,67,700,0.095714286
177,16,6,18,274,0.065693431
178,16,7,11,100,0.11
179,16,8,2,30,0.066666667
180,16,9,0,6,0
181,16,10,0,4,0
182,16,11,0,2,0
183,17,1,854,9225,0.092574526
184,17,2,172,1783,0.096466629
185,17,3,134,1447,0.09260539
186,17,4,85,974,0.087268994
187,17,5,43,455,0.094505495
188,17,6,19,200,0.095
189,17,7,3,55,0.054545455
190,17,8,4,21,0.19047619
191,17,9,0,10,0
192,17,11,0,2,0
193,18,1,653,7317,0.089244226
194,18,2,139,1357,0.102431835
195,18,3,99,1101,0.089918256
196,18,4,52,650,0.08
197,18,5,36,374,0.096256684
198,18,6,11,160,0.06875
199,18,7,7,70,0.1
200,18,8,1,20,0.05
201,18,9,0,7,0
202,18,10,0,1,0
203,19,1,363,4107,0.088385683
204,19,2,84,778,0.107969152
205,19,3,57,701,0.081312411
206,19,4,40,432,0.092592593
207,19,5,11,196,0.056122449
208,19,6,11,92,0.119565217
209,19,7,0,24,0
210,19,8,2,8,0.25
211,19,9,0,2,0
212,20,1,251,2798,0.089706934
213,20,2,63,503,0.125248509
214,20,3,38,454,0.083700441
215,20,4,22,252,0.087301587
216,20,5,8,135,0.059259259
217,20,6,5,71,0.070422535
218,20,7,1,14,0.071428571
219,20,8,0,5,0
220,20,9,1,3,0.333333333
221,21,1,106,1101,0.096276113
222,21,2,18,233,0.077253219
223,21,3,19,195,0.097435897
224,21,4,8,113,0.07079646
225,21,5,6,71,0.084507042
226,21,6,2,22,0.090909091
227,21,7,1,9,0.111111111
228,21,8,0,2,0
229,22,1,104,1140,0.09122807
230,22,2,19,212,0.089622642
231,22,3,10,183,0.054644809
232,22,4,13,98,0.132653061
233,22,5,4,61,0.06557377
234,22,6,2,22,0.090909091
235,22,7,0,4,0
236,22,8,0,2,0
237,23,1,40,446,0.089686099
238,23,2,7,78,0.08974359
239,23,3,4,69,0.057971014
240,23,4,4,39,0.102564103
241,23,5,1,17,0.058823529
242,23,6,3,9,0.333333333
243,23,7,0,7,0
244,23,8,0,1,0
245,24,2,0,1,0
246,25,1,13,107,0.121495327
247,25,2,1,25,0.04
248,25,3,2,25,0.08
249,25,4,1,17,0.058823529
250,25,5,1,12,0.083333333
251,25,6,0,6,0
252,25,8,1,2,0.5
